Course Code,Course Title,Units,Year and Semester,Track
GE-AA,Art Appreciation,3,First Year - 2nd Sem,Innovation and Technology
ENTRE 2,Opportunity Seeking,3,First Year - 2nd Sem,Innovation and Technology
ENTRE 3,Microeconomics,3,First Year - 2nd Sem,Innovation and Technology
BE 1002,Oral Communication in Business,3,First Year - 2nd Sem,Innovation and Technology
NSTP 2,ROTC/CWTS 2,3,First Year - 2nd Sem,Innovation and Technology
PATH Fit 2,Fitness Exercises,2,First Year - 2nd Sem,Innovation and Technology
GE-STS,"Science, Technology and Society",3,Second Year - 1st Sem,Innovation and Technology
BE 1001,Technical Writing in Business,3,Second Year - 1st Sem,Innovation and Technology
BAC 2,Math of Investment,3,Second Year - 1st Sem,Innovation and Technology
ENTRE 5,Market Research & Consumer Behavior,3,Second Year - 1st Sem,Innovation and Technology
ENTRE 4,Pricing & Costing,3,Second Year - 1st Sem,Innovation and Technology
ST 1,Technology and Entrepreneurship,3,Second Year - 1st Sem,Innovation and Technology
BAC 3,Accounting for Non-Accountants,3,Second Year - 1st Sem,Innovation and Technology
Elective 1,Elective 1 (Track-specific),3,Second Year - 1st Sem,Innovation and Technology
ST 2,Wholesale and Retail Sales Mgt.,3,Second Year - 1st Sem,Innovation and Technology
BAC 1,Human Behavior in Organization,3,Second Year - 1st Sem,Innovation and Technology
CBMEC 1,Operations Management (TQM),3,Second Year - 1st Sem,Innovation and Technology
GE-Elect: GS,Gender and Society,3,Second Year - 1st Sem,Innovation and Technology
ENTRE 6,Human Resource Management,3,Second Year - 1st Sem,Innovation and Technology
PATH Fit 3,Dance and Sports,2,Second Year - 1st Sem,Innovation and Technology
GE-LWR,Life and Works of Rizal,3,Second Year - 2nd Sem,Innovation and Technology
GE-Elect: IT,Living in the IT Era,3,Second Year - 2nd Sem,Innovation and Technology
GE-MMW,Mathematics in the Modern World,3,Second Year - 2nd Sem,Innovation and Technology
Elective 2,Entrepreneurial Marketing Strategies,3,Second Year - 2nd Sem,Innovation and Technology
ST 3,Trading/Merchandising Operations & Inventory,3,Second Year - 2nd Sem,Innovation and Technology
CBMEC 1,Operations Management (TQM),3,Second Year - 2nd Sem,Innovation and Technology
PATH Fit 4,Recreation,2,Second Year - 2nd Sem,Innovation and Technology
ENTRE 7,Financial Management,3,Third Year - 1st Sem,Innovation and Technology
GE-IER,Intensive English Review,3,Third Year - 1st Sem,Innovation and Technology
ST 3,Trading/Merchandising Operations & Inventory,3,Third Year - 1st Sem,Innovation and Technology
ENTRE 10,Business Plan Preparation,3,Third Year - 1st Sem,Innovation and Technology
Elective 3,Management of Technology & E-Commerce,3,Third Year - 1st Sem,Innovation and Technology
ST 4,Family Business Management,3,Third Year - 1st Sem,Innovation and Technology
ENTRE 8,Programs & Policies on Enterprise Development,3,Third Year - 1st Sem,Innovation and Technology
ENTRE 11,International Business and Trade,3,Third Year - 1st Sem,Innovation and Technology
CBMEC 2,Strategic Management,3,Third Year - 1st Sem,Innovation and Technology
ENTRE 12,Innovation Management,3,Third Year - 1st Sem,Innovation and Technology
BAC 4,Cost and Management Accounting,3,Third Year - 1st Sem,Innovation and Technology
ENTRE 13,Business Law & Taxation,3,Third Year - 1st Sem,Innovation and Technology
ENTRE 9,Social Entrepreneurship,3,Third Year - 1st Sem,Innovation and Technology
ENTRE 14,Business Implementation 1,5,Fourth Year - 1st Sem,Innovation and Technology
ENTRE 15,Business Implementation 2,5,Fourth Year - 2nd Sem,Innovation and Technology
